,NAME,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
0,BLUE KNIGHTS MOTORCYCLE CLUB,Other,Independent,C1000,ProductDev,Association,0,5000,1
1,Other,T3,Independent,C2000,Preservation,Co-operative,1-99999,108590,1
2,Other,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,0
3,Other,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,6692,1
4,Other,T3,Independent,C1000,Heathcare,Trust,100000-499999,142590,1
5,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
6,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,31452,1
7,Other,T3,Independent,C2000,Preservation,Trust,1M+,7508025,1
8,Other,Other,Independent,C1000,ProductDev,Trust,1-99999,94389,1
9,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,0
10,Other,T3,Independent,C1200,Preservation,Trust,1-99999,69656,0
11,Other,T3,Independent,C2000,Preservation,Trust,100000-499999,165593,0
12,THE UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
13,Other,T3,Independent,Other,Preservation,Trust,1-99999,5301,1
14,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
15,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
16,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
17,Other,T3,Independent,C1000,Heathcare,Trust,1M+,86380556,0
18,ANCHORAGE COMMUNITY MENTAL HEALTH SERVICES,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
19,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,376109,0
20,Other,T4,Independent,C3000,ProductDev,Trust,0,5000,1
21,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
22,Other,T3,Independent,Other,Preservation,Trust,100000-499999,318296,0
23,INTERNATIONAL ASSOCIATION OF LIONS CLUB,T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
24,SONS OF CONFEDERATE VETERANS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
25,Other,T4,Independent,C3000,ProductDev,Trust,0,5000,1
26,INFRAGARD NATIONAL MEMBERS ALLIANCE INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
27,POP WARNER LITTLE SCHOLARS INC,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,44004,1
28,FLORIDA STATE UNIVERSITY ALUMNI ASSOCIATION,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
29,Other,T6,Independent,C2000,ProductDev,Trust,0,5000,1
30,Other,T6,Independent,C2000,ProductDev,Trust,100000-499999,323466,1
31,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
32,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
33,SHERIFFS COMMUNITY ORGANIZED POLICING EFFORTS,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
34,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
35,Other,T3,Independent,C1200,Preservation,Trust,0,5000,0
36,Other,T4,Independent,C1000,ProductDev,Trust,0,5000,1
37,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
38,Other,Other,Independent,C1000,ProductDev,Association,0,5000,0
39,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,1
40,Other,T3,Independent,C1000,Preservation,Trust,1-99999,709815,0
41,Other,Other,Independent,C1000,ProductDev,Trust,1-99999,1329410,0
42,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,1
43,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
44,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
45,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
46,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
47,Other,Other,Independent,C1000,ProductDev,Trust,0,5000,0
48,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
49,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
50,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,31613,1
51,Other,T3,Independent,C1200,Preservation,Trust,1M+,1549352,0
52,Other,T3,Independent,C1000,Preservation,Trust,1-99999,5000,0
53,Other,T3,Independent,C2000,Preservation,Trust,1M+,577113,0
54,Other,T3,Independent,C1000,Preservation,Trust,1-99999,44623,0
55,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC,T3,CompanySponsored,C1000,Preservation,Association,100000-499999,64868,0
56,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,131620,0
57,HABITAT FOR HUMANITY INTERNATIONAL INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
58,Other,T3,Independent,C1000,Preservation,Trust,1M+,306133,1
59,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,66916,1
60,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
61,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,236206,1
62,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
63,Other,T5,Independent,C1000,ProductDev,Trust,100000-499999,393704,1
64,PARENTS HELPING PARENTS INC,T3,Family/Parent,C2000,Preservation,Trust,0,5000,1
65,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
66,Other,Other,Independent,C1000,ProductDev,Trust,1M+,9955466,1
67,Other,T19,CompanySponsored,C1000,ProductDev,Association,1-99999,94869,0
68,Other,T3,Independent,C1000,Preservation,Association,0,5000,0
69,Other,T3,Independent,Other,Preservation,Trust,100000-499999,6501,1
70,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
71,Other,T3,Independent,Other,Preservation,Trust,100000-499999,5000,1
72,Other,T3,Independent,C1200,Preservation,Trust,1-99999,5000,1
73,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
74,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
75,TEXAS STATE TEACHERS ASSOCIATION,T5,CompanySponsored,C1000,ProductDev,Trust,0,5000,0
76,NATIONAL NETWORK OF ABORTION FUNDS,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
77,Other,T3,Independent,C1000,Preservation,Trust,1-99999,36607,1
78,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
79,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
80,Other,T3,Independent,C1000,Preservation,Association,0,5000,0
81,Other,T3,Independent,C1000,Preservation,Trust,1M+,484855,1
82,Other,T3,Independent,Other,Preservation,Trust,0,5000,0
83,Other,T6,Independent,C2000,ProductDev,Trust,1-99999,137272,1
84,Other,T3,Independent,Other,Preservation,Trust,1-99999,5000,1
85,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
86,Other,T3,Independent,C1200,Preservation,Trust,1-99999,101980,0
87,Other,T3,Independent,Other,Preservation,Trust,1M+,4410503,0
88,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
89,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
90,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
91,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,1-99999,15477,0
92,VFW AUXILIARY DEPARTMENT OF MISSISSIPPI,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
93,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
94,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
95,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
96,CIVITAN INTERNATIONAL,T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
97,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
98,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
99,INTERNATIONAL ASSOCIATION OF JEWISH GENEALOGICAL SOCIETIES INC,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
100,LOUSIANA GARDEN CLUB FEDERATION INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
101,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
102,Other,T3,Independent,C1000,Preservation,Trust,1-99999,24211,1
103,Other,T3,Independent,C1200,Preservation,Trust,100000-499999,9868,1
104,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
105,TENNESSEE ORDER OF THE EASTERN STAR,Other,CompanySponsored,C1000,ProductDev,Association,0,5000,0
106,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
107,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
108,CIVITAN INTERNATIONAL,T4,CompanySponsored,C1000,Preservation,Association,0,5000,0
109,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
110,ALABAMA FEDERATION OF WOMENS CLUBS,T4,CompanySponsored,C1000,ProductDev,Association,0,5000,0
111,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
112,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
113,UNITED STATES BOWLING CONGRESS INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
114,Other,T3,Independent,Other,Preservation,Trust,1-99999,5000,1
115,Other,T3,Independent,C1000,Preservation,Trust,100000-499999,5000,1
116,INTERNATIONAL FEDERATION OF FLY FISHERS INC,T3,CompanySponsored,C2000,CommunityServ,Trust,0,5000,1
117,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
118,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
119,Other,T4,Independent,C1000,ProductDev,Trust,0,5000,1
120,KNIGHTS OF COLUMBUS,Other,CompanySponsored,C1000,Preservation,Association,0,5000,0
121,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
122,Other,T6,Independent,C1000,ProductDev,Trust,0,5000,0
123,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
124,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
125,Other,T3,Independent,C1000,Preservation,Association,0,5000,1
126,CAJUN FRENCH MUSIC ASSOCIATION OF LOUISIANA INC,T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
127,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
128,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
129,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
130,Other,T3,Independent,C2100,Preservation,Trust,1-99999,5000,1
131,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
132,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
133,PTA TEXAS CONGRESS,T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
134,Other,T6,Independent,C2000,ProductDev,Trust,1-99999,5000,1
135,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
136,Other,T3,Independent,Other,Preservation,Trust,1-99999,638229,1
137,Other,T3,Independent,C1000,Preservation,Trust,1-99999,20520,1
138,Other,T3,Independent,C2000,Preservation,Trust,0,5000,1
139,THE UNITED STATES PONY CLUBS INC,T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
140,Other,T3,Independent,C1200,Preservation,Trust,0,5000,1
141,Other,T3,Independent,Other,Preservation,Trust,0,5000,1
142,Other,T3,Independent,C1000,Preservation,Trust,0,5000,0
143,Other,T3,Independent,C1000,Preservation,Association,1-99999,5000,1
144,CALIFORNIA GARDEN CLUBS INC,T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
145,Other,T3,Independent,C1000,Preservation,Trust,1-99999,8160,1
146,Other,T5,Independent,C3000,ProductDev,Trust,0,5000,0
147,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
148,DISABLED AMERICAN VETERANS,T4,CompanySponsored,C3000,Preservation,Association,0,5000,0
149,Other,T3,Independent,C2100,Preservation,Trust,0,5000,1
150,Other,T3,Independent,C1000,Preservation,Trust,0,5000,1
151,Other,T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
